Gene,TTA
NIMBDPOJ_02334 hypothetical protein,1
NIMBDPOJ_02361 Thymidylate kinase,1
NIMBDPOJ_02409 hypothetical protein,1
NIMBDPOJ_02420 hypothetical protein,1
NIMBDPOJ_02577 putative BsuMI modification methylase subunit YdiO,1
NIMBDPOJ_02584 hypothetical protein,1
NIMBDPOJ_02603 NAD(P)H-quinone oxidoreductase subunit 3,1
NIMBDPOJ_02658 Molybdopterin molybdenumtransferase 1,1
NIMBDPOJ_02722 Uridine kinase,1
NIMBDPOJ_02756 hypothetical protein,1
NIMBDPOJ_02774 hypothetical protein,1
NIMBDPOJ_02775 hypothetical protein,1
NIMBDPOJ_02903 hypothetical protein,1
NIMBDPOJ_03001 hypothetical protein,1
NIMBDPOJ_03008 hypothetical protein,1
NIMBDPOJ_03009 hypothetical protein,1
NIMBDPOJ_03031 hypothetical protein,1
NIMBDPOJ_03045 hypothetical protein,1
NIMBDPOJ_03082 hypothetical protein,1
NIMBDPOJ_03090 hypothetical protein,1
NIMBDPOJ_03094 HTH-type transcriptional regulator MalT,1
NIMBDPOJ_03105 hypothetical protein,1
NIMBDPOJ_03113 N-carbamoyl-L-amino acid hydrolase,1
NIMBDPOJ_03136 Copper transport protein YcnJ,1
NIMBDPOJ_03146 hypothetical protein,1
NIMBDPOJ_03156 hypothetical protein,1
NIMBDPOJ_03163 hypothetical protein,1
NIMBDPOJ_03176 hypothetical protein,1
NIMBDPOJ_03186 hypothetical protein,1
NIMBDPOJ_03192 hypothetical protein,1
NIMBDPOJ_03245 hypothetical protein,1
NIMBDPOJ_03287 hypothetical protein,1
NIMBDPOJ_03377 hypothetical protein,1
NIMBDPOJ_03379 hypothetical protein,1
NIMBDPOJ_03387 hypothetical protein,1
NIMBDPOJ_03388 hypothetical protein,1
NIMBDPOJ_03389 hypothetical protein,1
NIMBDPOJ_03391 hypothetical protein,1
NIMBDPOJ_03436 hypothetical protein,1
NIMBDPOJ_03648 hypothetical protein,1
NIMBDPOJ_03652 hypothetical protein,1
NIMBDPOJ_03656 hypothetical protein,1
NIMBDPOJ_03661 hypothetical protein,1
NIMBDPOJ_03664 Tyrosine recombinase XerC,1
NIMBDPOJ_03713 hypothetical protein,1
NIMBDPOJ_03728 Vitamin B12 import ATP-binding protein BtuD,1
NIMBDPOJ_03788 IS701 family transposase ISRhosp4,1
NIMBDPOJ_03790 Tyrosine recombinase XerC,1
NIMBDPOJ_03793 hypothetical protein,1
NIMBDPOJ_03794 hypothetical protein,1
NIMBDPOJ_03797 hypothetical protein,1
NIMBDPOJ_03819 RNA polymerase sigma-H factor,1
NIMBDPOJ_03843 Vitamin B12 import ATP-binding protein BtuD,1
NIMBDPOJ_03881 hypothetical protein,1
NIMBDPOJ_03901 hypothetical protein,1
NIMBDPOJ_03924 hypothetical protein,1
NIMBDPOJ_03960 Glucose-1-phosphate adenylyltransferase,1
NIMBDPOJ_03967 hypothetical protein,1
NIMBDPOJ_04020 hypothetical protein,1
NIMBDPOJ_04040 Cardiolipin synthase B,1
NIMBDPOJ_04154 Crossover junction endodeoxyribonuclease RuvC,1
NIMBDPOJ_04213 Orotidine 5'-phosphate decarboxylase,1
NIMBDPOJ_04303 hypothetical protein,1
NIMBDPOJ_04313 hypothetical protein,1
NIMBDPOJ_04315 hypothetical protein,1
NIMBDPOJ_04320 hypothetical protein,1
NIMBDPOJ_04322 hypothetical protein,1
NIMBDPOJ_04337 hypothetical protein,1
NIMBDPOJ_04345 Multicopper oxidase MmcO,1
NIMBDPOJ_04353 Transcriptional regulator BlaI,1
NIMBDPOJ_04354 hypothetical protein,1
NIMBDPOJ_04356 putative MFS-type transporter EfpA,1
NIMBDPOJ_04369 hypothetical protein,1
NIMBDPOJ_04382 hypothetical protein,1
NIMBDPOJ_04385 Trans-aconitate 2-methyltransferase,1
NIMBDPOJ_04420 KHG/KDPG aldolase,1
NIMBDPOJ_04424 hypothetical protein,1
NIMBDPOJ_04480 Regulatory protein AfsR,1
NIMBDPOJ_04481 hypothetical protein,1
NIMBDPOJ_04519 hypothetical protein,1
NIMBDPOJ_04534 hypothetical protein,1
NIMBDPOJ_04575 hypothetical protein,1
NIMBDPOJ_04580 hypothetical protein,1
NIMBDPOJ_04642 hypothetical protein,1
NIMBDPOJ_04691 hypothetical protein,1
NIMBDPOJ_04706 IS701 family transposase ISSav2,1
NIMBDPOJ_04722 3'-5' exonuclease DinG,1
NIMBDPOJ_04804 hypothetical protein,1
NIMBDPOJ_04847 hypothetical protein,1
NIMBDPOJ_04924 hypothetical protein,1
NIMBDPOJ_04993 hypothetical protein,1
NIMBDPOJ_04996 hypothetical protein,1
NIMBDPOJ_05018 hypothetical protein,1
NIMBDPOJ_05055 hypothetical protein,1
NIMBDPOJ_05091 Inosose dehydratase,1
NIMBDPOJ_05198 Glycerophosphodiester phosphodiesterase,1
NIMBDPOJ_05201 hypothetical protein,1
NIMBDPOJ_05258 Acid phosphatase,1
NIMBDPOJ_05265 hypothetical protein,1
NIMBDPOJ_05310 Putative transposase InsK for insertion sequence element IS150,1
NIMBDPOJ_05316 hypothetical protein,1
NIMBDPOJ_05371 hypothetical protein,1
NIMBDPOJ_05397 hypothetical protein,1
NIMBDPOJ_05416 Potassium channel,1
NIMBDPOJ_05428 RNA polymerase-associated protein RapA,1
NIMBDPOJ_05429 hypothetical protein,1
NIMBDPOJ_05434 hypothetical protein,1
"NIMBDPOJ_05474 Naphthalene 1,2-dioxygenase system ferredoxin--NAD(P)(+), reductase component",1
NIMBDPOJ_05621 putative protein,1
NIMBDPOJ_05634 Glucosidase YgjK,1
NIMBDPOJ_05729 hypothetical protein,1
NIMBDPOJ_05738 hypothetical protein,1
NIMBDPOJ_05740 IS5 family transposase ISAmi1,1
NIMBDPOJ_05746 hypothetical protein,1
NIMBDPOJ_05784 hypothetical protein,1
NIMBDPOJ_05819 hypothetical protein,1
NIMBDPOJ_05858 hypothetical protein,1
NIMBDPOJ_05880 hypothetical protein,1
NIMBDPOJ_05889 hypothetical protein,1
NIMBDPOJ_05909 hypothetical protein,1
NIMBDPOJ_05912 IS30 family transposase ISPfr9,1
NIMBDPOJ_05924 Putative heat shock protein HspR,1
NIMBDPOJ_05928 hypothetical protein,1
NIMBDPOJ_05943 6-methylpretetramide 4-monooxygenase,1
NIMBDPOJ_05967 Phosphopantetheine adenylyltransferase,1
NIMBDPOJ_05973 hypothetical protein,1
NIMBDPOJ_05976 hypothetical protein,1
NIMBDPOJ_05983 hypothetical protein,1
NIMBDPOJ_06001 Putative heat shock protein HspR,1
NIMBDPOJ_06010 Inner membrane protein YbjJ,1
NIMBDPOJ_06012 hypothetical protein,1
NIMBDPOJ_06022 hypothetical protein,1
NIMBDPOJ_06041 Group II intron-encoded protein LtrA,1
NIMBDPOJ_06044 hypothetical protein,1
NIMBDPOJ_06049 hypothetical protein,1
NIMBDPOJ_06090 Regulatory protein AfsR,1
NIMBDPOJ_06160 hypothetical protein,1
NIMBDPOJ_06165 hypothetical protein,1
NIMBDPOJ_06168 hypothetical protein,1
"NIMBDPOJ_06180 NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic",1
